week,date,planned_points,actual_points
Semana 1,2025-10-06,16,16
Semana 2,2025-10-13,16,3
Semana 3,2025-10-20,16.5,0
Semana 4,2025-10-27,16.5,0
Semana 5,2025-11-03,15,0
Semana 6,2025-11-10,15,0
Semana 7,2025-11-17,15,0


